timestamp,latitude,longitude,region,shoreline_position,erosion_rate,accretion_rate,net_shoreline_change,beach_width,beach_volume,dune_height,dune_width,cliff_retreat_rate,rock_strength,sediment_grain_size,sediment_composition,sand_supply,sediment_transport_rate,longshore_transport_rate,cross_shore_transport_rate,wave_height,wave_period,wave_direction,wave_energy,tidal_range,storm_surge_frequency,wind_speed,wind_direction,rainfall_intensity,runoff_volume,sea_level_rise,relative_sea_level_change,subsidence_rate,vegetation_cover,vegetation_health,root_density,bioturbation_index,human_activity,coastal_development,tourist_traffic,seawall_presence,seawall_condition,groyn_presence,beach_nourishment,protection_effectiveness,vulnerability_index,risk_assessment,economic_value,infrastructure_at_risk,property_damage_risk,evacuation_plan,community_preparedness,erosion_prediction_1_year,erosion_prediction_5_year,erosion_prediction_10_year,adaptation_cost,cost_benefit_ratio,monitoring_frequency,data_reliability,battery_level,signal_strength
2025-08-29T15:20:15.736Z,22.4601,70.0703,Jamnagar,65.84,1.638,0.254,-1.247,29.89,597.73,5.41,14.50,0.629,57.48,0.341,Coral,43.47,35.87,53.83,17.94,4.10,11.85,209.4,580.46,2.35,0.218,37.17,215.8,44.19,21.86,4.35,4.37,1.506,41.04,Fair,47.22,0.566,High,0.393,43.72,Present,Good,Absent,None,0.252,0.588,High,588992.23,Roads,342506.48,Standby,Low,2.27,9.24,17.25,1498895.36,1.44,Daily,0.906,90.1,-20.2
2025-08-29T14:50:15.736Z,21.7563,72.1697,Bhavnagar,65.25,1.711,0.240,-1.291,29.53,590.67,5.61,13.55,0.557,56.67,0.226,Mixed,43.00,34.84,53.86,17.42,3.99,11.83,181.3,557.42,2.02,0.182,35.90,233.5,56.16,22.21,4.46,4.15,1.617,43.11,Fair,44.77,0.574,High,0.525,44.43,Present,Good,Absent,None,0.243,0.655,High,581933.65,Roads,348388.63,Standby,Low,2.43,8.40,15.38,1293865.91,1.48,Daily,0.908,89.6,-20.9
2025-08-29T14:20:15.736Z,20.9211,70.1809,Veraval,83.64,0.939,0.865,0.070,40.57,811.32,6.57,21.47,0.263,55.18,0.290,Sand,57.71,16.45,48.39,8.23,2.52,10.93,176.1,263.22,2.18,0.120,24.87,183.0,58.51,11.18,3.88,3.83,0.667,69.70,Good,54.17,0.418,Moderate,0.156,22.36,Absent,N/A,Absent,None,0.900,0.253,Moderate,802583.76,None,164513.54,Standby,Moderate,1.30,5.13,6.17,605262.59,2.05,Weekly,0.954,69.2,-25.2
2025-08-29T13:50:15.736Z,23.0426,72.5732,Ahmedabad Coast,50.85,2.883,-0.053,-2.356,20.89,417.88,4.07,9.17,0.965,46.89,0.268,Mixed,31.48,52.78,68.64,26.39,5.49,14.18,209.4,858.56,1.89,0.304,48.08,192.4,51.12,30.85,4.89,4.82,1.875,32.68,Fair,27.89,0.666,High,0.782,61.71,Present,Poor,Present,Recent,0.012,0.847,Critical,409141.28,Buildings,492382.26,Active,Low,2.92,10.61,23.61,1776953.26,1.22,Daily,0.856,98.1,-25.0
2025-08-29T13:20:15.737Z,22.2629,71.1888,Gujarat Coast,71.44,1.428,0.575,-0.833,33.25,664.95,5.95,16.15,0.603,52.61,0.394,Gravel,47.95,31.53,57.90,15.77,3.78,11.44,174.8,516.03,1.83,0.143,35.07,253.9,58.99,18.50,4.04,4.08,1.011,47.59,Good,44.30,0.498,Moderate,0.425,37.00,Absent,N/A,Absent,None,0.900,0.548,High,656218.24,Roads,286484.80,Standby,Moderate,1.88,6.59,13.22,1046812.24,1.56,Weekly,0.862,67.9,-11.2
2025-08-29T12:50:15.737Z,21.6441,69.6127,Porbandar,73.73,1.445,0.425,-0.663,34.62,692.43,5.46,17.65,0.422,53.88,0.217,Sand,49.79,26.36,55.95,13.18,3.31,10.72,164.2,421.73,1.92,0.156,30.82,214.7,62.12,17.13,3.72,3.87,1.181,59.23,Good,48.98,0.479,Moderate,0.312,34.25,Absent,N/A,Absent,Recent,0.900,0.484,High,683699.31,Roads,263583.91,Standby,Moderate,1.88,6.33,15.64,1087442.01,1.81,Weekly,0.880,76.9,-24.1
2025-08-29T12:20:15.737Z,22.2231,68.9796,Dwarka,75.93,1.164,0.712,-0.500,35.94,718.87,6.37,16.33,0.386,42.56,0.374,Gravel,51.55,24.16,55.97,12.08,3.13,11.50,157.7,386.48,1.78,0.173,29.49,229.2,60.23,15.80,4.07,3.68,0.732,48.66,Good,45.77,0.468,Moderate,0.364,31.61,Absent,N/A,Absent,None,0.900,0.399,Moderate,710139.11,Roads,241550.74,Standby,Moderate,1.54,6.77,11.07,1045584.49,1.57,Weekly,0.957,92.1,-29.8
2025-08-29T11:50:15.737Z,22.4618,70.0823,Jamnagar,85.66,0.721,0.859,0.219,41.78,835.55,6.36,20.38,0.231,57.64,0.320,Silt,59.33,14.43,46.56,7.22,2.35,10.53,190.7,230.91,1.85,0.136,23.66,215.1,62.57,9.97,3.31,3.71,0.587,68.56,Good,62.14,0.409,Low,0.217,19.94,Absent,N/A,Absent,None,0.900,0.239,Moderate,826817.00,None,144319.17,Standby,High,0.66,4.46,6.23,358083.26,2.12,Monthly,0.888,79.2,-27.2
2025-08-29T11:20:15.737Z,21.7419,72.1704,Bhavnagar,61.35,2.540,0.381,-1.579,27.19,543.88,5.11,12.43,1.087,58.05,0.331,Silt,39.88,48.09,62.98,24.05,5.23,12.92,176.0,806.88,1.73,0.237,47.60,211.4,54.14,24.55,4.41,4.24,1.502,48.48,Fair,42.44,0.618,High,0.545,49.11,Present,Fair,Present,None,0.180,0.654,Critical,535150.28,Buildings,387374.76,Active,Low,2.75,8.61,19.82,1358211.35,1.17,Daily,0.958,71.7,-24.9
2025-08-29T10:50:15.737Z,20.9080,70.2254,Veraval,75.98,1.241,0.721,-0.497,35.97,719.39,6.32,16.51,0.386,47.35,0.380,Silt,51.58,24.11,54.23,12.06,3.13,11.54,199.4,385.79,2.44,0.144,29.47,194.8,53.76,15.78,3.60,4.03,0.902,50.39,Good,48.52,0.514,Moderate,0.303,31.56,Absent,N/A,Present,None,0.900,0.422,Moderate,710653.83,Roads,241121.81,Standby,Moderate,1.40,5.32,12.26,937051.08,1.93,Weekly,0.908,86.4,-18.9
2025-08-29T10:20:15.737Z,23.0457,72.5876,Ahmedabad Coast,68.98,1.581,0.487,-1.014,31.78,635.50,5.08,14.29,0.498,52.01,0.398,Gravel,45.99,31.10,50.96,15.55,3.69,11.17,164.4,497.64,2.40,0.202,33.66,210.7,52.52,19.97,4.47,3.96,1.494,54.62,Fair,42.45,0.523,High,0.396,39.94,Present,Good,Absent,Recent,0.302,0.591,High,626768.06,Roads,311026.62,Standby,Low,1.91,6.44,13.71,1284173.16,1.59,Daily,0.883,67.7,-19.7
2025-08-29T09:50:15.738Z,22.2577,71.1759,Gujarat Coast,55.12,2.494,0.039,-2.040,23.46,469.12,4.76,10.86,0.719,48.90,0.339,Clay,34.90,44.97,60.72,22.48,4.80,12.68,169.2,719.48,2.26,0.249,41.98,234.7,61.73,28.29,4.23,4.78,1.550,40.11,Fair,32.66,0.690,High,0.568,56.58,Present,Poor,Absent,None,0.081,0.808,Critical,460387.06,Buildings,449677.45,Active,Low,2.78,10.78,22.01,1603538.21,1.22,Daily,0.914,70.3,-26.3
2025-08-29T09:20:15.738Z,21.6568,69.6425,Porbandar,80.80,1.054,0.807,-0.140,38.86,777.24,6.84,18.39,0.309,42.16,0.253,Clay,55.44,19.29,40.57,9.65,2.74,11.22,200.3,308.66,2.31,0.119,26.57,220.7,55.95,12.88,3.86,3.62,0.546,54.00,Good,54.87,0.439,Moderate,0.286,25.77,Absent,N/A,Absent,None,0.900,0.373,Moderate,768508.24,None,192909.80,Standby,Moderate,0.77,3.53,8.46,739370.21,2.08,Weekly,0.968,66.2,-19.1
2025-08-29T08:50:15.738Z,22.2584,68.9498,Dwarka,72.23,1.590,0.605,-0.774,33.72,674.42,5.52,15.91,0.446,59.93,0.209,Clay,48.59,27.86,46.29,13.93,3.43,11.55,164.4,445.75,1.72,0.142,31.72,258.8,58.70,18.03,3.71,4.28,0.972,47.06,Good,51.50,0.495,Moderate,0.300,36.05,Absent,N/A,Absent,Recent,0.900,0.526,High,665687.16,Roads,278594.03,Standby,Moderate,2.02,6.55,13.66,1310167.20,1.56,Weekly,0.904,61.3,-28.9
2025-08-29T08:20:15.738Z,22.4893,70.0737,Jamnagar,73.89,1.495,0.437,-0.651,34.72,694.40,5.65,17.59,0.419,47.18,0.365,Gravel,49.92,26.19,55.92,13.10,3.30,10.39,176.9,419.11,2.09,0.144,30.72,250.2,51.38,17.03,3.80,4.15,1.095,53.44,Good,44.71,0.543,Moderate,0.395,34.05,Absent,N/A,Present,None,0.900,0.492,High,685667.31,Roads,261943.91,Standby,Moderate,1.67,7.66,12.46,972608.93,1.92,Weekly,0.936,96.8,-11.7
2025-08-29T07:50:15.738Z,21.7664,72.1375,Bhavnagar,55.49,2.354,0.086,-2.013,23.68,473.62,4.44,12.18,0.713,56.86,0.217,Clay,35.20,44.59,71.98,22.30,4.77,13.19,156.0,713.49,2.06,0.232,41.76,184.2,60.38,28.07,4.42,4.62,1.548,32.69,Fair,35.39,0.655,High,0.634,56.13,Present,Poor,Absent,None,0.087,0.814,Critical,464885.19,Buildings,445929.01,Active,Low,2.92,11.05,21.03,1659644.74,1.09,Daily,0.871,82.9,-18.7
2025-08-29T07:20:15.738Z,20.8994,70.1800,Veraval,87.39,1.003,0.857,0.348,42.82,856.36,7.47,19.71,0.688,56.91,0.329,Silt,60.71,22.40,41.87,11.20,3.19,8.68,171.0,397.27,2.43,0.119,32.32,206.5,48.78,8.93,3.27,3.46,0.699,62.79,Good,59.16,0.429,Low,0.111,17.86,Absent,N/A,Present,Recent,0.900,0.182,Moderate,847623.76,None,126980.20,Standby,High,0.41,4.12,5.64,752268.88,2.10,Monthly,0.974,70.2,-29.7
2025-08-29T06:50:15.738Z,23.0067,72.5867,Ahmedabad Coast,51.58,2.401,0.143,-2.302,21.33,426.60,3.80,11.75,0.776,54.10,0.306,Mixed,32.06,48.51,62.24,24.26,5.08,14.49,183.5,776.18,1.74,0.254,44.11,193.5,47.24,30.42,4.70,4.56,1.781,34.24,Fair,30.30,0.692,High,0.718,60.83,Present,Poor,Absent,None,0.024,0.907,Critical,417867.51,Buildings,485110.41,Active,Low,2.66,12.98,25.11,2079901.87,1.05,Daily,0.908,74.6,-27.4
2025-08-29T06:20:15.738Z,22.2436,71.2124,Gujarat Coast,89.89,0.666,1.082,0.533,44.32,886.39,6.98,20.62,0.163,48.71,0.317,Mixed,62.72,10.20,44.53,5.10,2.02,9.50,199.1,163.13,1.73,0.041,21.12,200.9,56.08,7.43,3.70,3.38,0.259,70.05,Good,62.78,0.375,Low,0.228,14.85,Absent,N/A,Absent,None,0.900,0.169,Low,877653.80,None,101955.17,Standby,High,0.13,3.73,6.33,577116.07,2.24,Monthly,0.905,72.5,-25.3
2025-08-29T05:50:15.738Z,21.6249,69.6047,Porbandar,77.05,0.926,0.523,-0.418,36.61,732.24,6.33,17.01,0.369,53.40,0.281,Coral,52.44,23.04,51.15,11.52,3.04,9.94,169.0,368.66,2.05,0.142,28.82,248.6,62.43,15.13,4.10,3.98,0.990,59.47,Good,55.23,0.494,Moderate,0.326,30.27,Absent,N/A,Present,None,0.900,0.434,Moderate,723502.28,Roads,230414.77,Standby,Moderate,1.02,6.86,12.27,835771.59,1.65,Weekly,0.921,91.7,-10.0
2025-08-29T05:20:15.738Z,22.2423,68.9652,Dwarka,92.08,0.357,0.859,0.695,45.63,912.66,7.71,23.79,0.128,52.76,0.267,Clay,64.47,8.01,39.95,4.00,1.84,8.85,191.3,128.10,1.99,0.088,19.80,247.6,54.68,6.11,3.73,3.61,0.297,74.03,Excellent,62.51,0.402,Low,0.178,12.23,Absent,N/A,Present,None,0.900,0.156,Low,903927.15,None,80060.71,Standby,High,0.15,1.13,4.62,163937.26,2.05,Monthly,0.868,79.5,-16.8
2025-08-29T04:50:15.738Z,22.4631,70.0339,Jamnagar,94.77,0.307,0.941,0.894,47.24,944.87,7.27,22.08,0.085,43.11,0.286,Coral,66.62,5.32,32.58,2.66,1.63,8.46,188.8,85.15,2.03,0.018,18.19,219.2,55.78,4.50,3.38,3.50,-0.026,80.15,Excellent,67.44,0.326,Low,0.038,9.01,Absent,N/A,Present,None,0.900,0.068,Low,936137.08,None,53219.10,Standby,High,0.75,2.21,1.47,9789.21,2.54,Monthly,0.890,95.9,-10.9
2025-08-29T04:20:15.738Z,21.7877,72.1589,Bhavnagar,99.16,0.130,1.277,1.219,49.88,997.58,7.95,23.93,0.015,50.07,0.348,Sand,70.13,0.93,38.06,0.46,1.27,7.81,169.0,14.88,2.14,-0.020,15.56,207.4,54.30,1.87,3.60,3.27,0.124,83.43,Excellent,69.13,0.357,Low,-0.010,3.74,Absent,N/A,Absent,None,0.900,-0.002,Low,988842.85,None,9297.63,Standby,High,0.37,-0.35,-1.16,73994.77,2.38,Monthly,0.984,88.9,-12.7
2025-08-29T03:50:15.738Z,20.9090,70.2153,Veraval,93.76,0.183,1.076,0.819,46.64,932.84,7.06,22.34,0.101,53.00,0.272,Coral,65.81,6.32,40.02,3.16,1.71,9.35,168.2,101.19,1.97,-0.006,18.79,191.4,60.76,5.10,3.67,3.22,0.082,68.07,Excellent,65.36,0.309,Low,0.065,10.21,Absent,N/A,Absent,Recent,0.900,0.129,Low,924105.74,None,63245.22,Standby,High,0.69,2.21,0.82,141935.08,2.45,Monthly,0.926,66.9,-16.0
2025-08-29T03:20:15.738Z,23.0294,72.5497,Ahmedabad Coast,66.88,1.707,0.331,-1.170,30.51,610.21,5.73,15.51,0.531,52.91,0.305,Clay,44.30,33.21,60.08,16.61,3.86,11.59,185.3,531.37,2.26,0.175,34.93,247.8,54.38,21.24,4.40,4.32,1.160,42.22,Fair,38.84,0.571,High,0.536,42.47,Present,Good,Absent,Recent,0.269,0.570,High,601473.66,Roads,332105.28,Standby,Low,1.79,9.08,16.82,1354488.45,1.45,Daily,0.970,75.1,-16.1
2025-08-29T02:50:15.738Z,22.2423,71.1797,Gujarat Coast,67.81,1.839,0.563,-1.101,31.07,621.43,5.75,14.15,0.574,48.63,0.246,Silt,45.05,33.42,52.49,16.71,3.90,12.78,152.8,539.39,2.05,0.151,35.51,238.1,46.18,20.68,4.24,4.07,1.454,50.89,Fair,48.10,0.606,High,0.536,41.35,Present,Good,Absent,None,0.284,0.561,High,612697.55,Roads,322752.04,Standby,Low,1.69,6.43,16.66,1252333.51,1.54,Daily,0.910,66.4,-34.8
2025-08-29T02:20:15.738Z,21.6368,69.6267,Porbandar,54.63,2.208,0.122,-2.077,23.16,463.20,4.15,10.02,0.727,54.13,0.251,Gravel,34.50,45.46,65.85,22.73,4.84,13.91,198.1,727.38,2.32,0.276,42.28,226.0,50.16,28.59,4.24,4.33,1.634,33.99,Fair,37.16,0.637,High,0.574,57.17,Present,Poor,Absent,None,0.073,0.784,Critical,454467.08,Buildings,454610.76,Active,Low,2.58,10.70,23.14,1780866.77,1.18,Daily,0.884,67.3,-10.5
2025-08-29T01:50:15.739Z,22.2476,68.9634,Dwarka,76.53,0.944,0.705,-0.456,36.30,726.03,6.08,18.73,0.377,48.64,0.345,Sand,52.03,23.56,45.74,11.78,3.08,10.75,150.2,376.94,2.39,0.189,29.14,200.4,47.29,15.44,3.83,3.66,1.141,50.65,Good,55.74,0.440,Moderate,0.242,30.89,Absent,N/A,Present,None,0.900,0.452,Moderate,717297.91,Roads,235585.08,Standby,Moderate,1.74,5.04,12.26,769632.15,1.67,Weekly,0.934,87.7,-22.5
2025-08-29T01:20:15.739Z,22.4607,70.0760,Jamnagar,56.57,2.773,0.049,-1.933,24.33,486.54,4.86,13.04,1.077,41.11,0.321,Sand,36.06,51.13,66.24,25.57,5.44,14.11,206.2,848.54,2.12,0.224,48.72,230.3,52.35,27.42,4.41,4.71,1.659,33.18,Fair,36.75,0.628,High,0.579,54.84,Present,Poor,Present,None,0.104,0.766,Critical,477807.43,Buildings,435160.48,Active,Low,2.50,11.85,23.77,1699945.61,1.29,Daily,0.860,87.4,-34.4
2025-08-29T00:50:15.739Z,21.7450,72.1629,Bhavnagar,92.46,0.264,0.944,0.723,45.86,917.25,7.75,22.17,0.122,45.72,0.314,Coral,64.77,7.62,43.17,3.81,1.81,9.49,155.5,121.97,2.12,0.057,19.57,212.0,59.54,5.88,3.05,3.36,0.108,73.86,Excellent,63.58,0.410,Low,0.074,11.77,Absent,N/A,Present,None,0.900,0.161,Low,908520.26,None,76233.12,Standby,High,0.23,0.49,2.28,204816.49,2.31,Monthly,0.861,94.2,-33.7
2025-08-29T00:20:15.739Z,20.9369,70.2048,Veraval,82.31,1.034,0.868,-0.028,39.77,795.44,6.83,19.78,0.284,53.61,0.353,Gravel,56.65,17.77,46.18,8.89,2.62,9.15,161.1,284.39,2.27,0.064,25.66,226.8,43.44,11.97,3.89,3.76,0.491,64.14,Good,54.73,0.409,Moderate,0.162,23.95,Absent,N/A,Absent,None,0.900,0.346,Moderate,786705.73,None,177745.23,Standby,Moderate,0.68,4.80,7.29,625620.31,1.80,Weekly,0.940,85.7,-12.1
2025-08-28T23:50:15.739Z,23.0088,72.5739,Ahmedabad Coast,66.09,1.574,0.518,-1.229,30.04,600.72,5.18,13.59,0.544,44.04,0.299,Sand,43.67,34.00,53.10,17.00,3.92,13.05,192.6,544.02,2.44,0.158,35.40,218.0,46.67,21.71,4.61,4.19,1.603,38.82,Fair,41.46,0.550,High,0.470,43.42,Present,Good,Absent,None,0.256,0.566,High,591986.15,Roads,340011.54,Standby,Low,1.75,9.47,17.07,1524473.32,1.45,Daily,0.925,95.6,-14.4
2025-08-28T23:20:15.739Z,22.2533,71.1993,Gujarat Coast,84.90,0.998,0.723,0.164,41.33,826.50,7.25,20.18,0.243,48.86,0.398,Mixed,58.72,15.19,44.93,7.59,2.41,10.34,188.5,242.97,2.31,0.081,24.11,257.6,43.32,10.42,3.90,3.81,0.647,71.76,Good,61.62,0.432,Moderate,0.195,20.84,Absent,N/A,Absent,Recent,0.900,0.284,Moderate,817773.18,None,151855.68,Standby,Moderate,1.39,3.09,8.82,520101.54,1.90,Weekly,0.910,69.1,-17.5
2025-08-28T22:50:15.739Z,21.6334,69.6269,Porbandar,57.76,2.334,0.119,-1.845,25.04,500.78,4.87,13.48,0.677,42.14,0.311,Coral,37.01,42.33,66.35,21.16,4.59,12.99,152.3,677.27,1.88,0.243,40.40,180.4,55.53,26.71,4.34,4.45,1.744,40.54,Fair,31.28,0.629,High,0.573,53.41,Present,Poor,Present,None,0.123,0.812,Critical,492046.26,Buildings,423294.78,Active,Low,2.73,8.81,20.95,1797702.42,1.39,Daily,0.981,76.6,-25.5
2025-08-28T22:20:15.739Z,22.2543,68.9513,Dwarka,78.94,1.218,0.730,-0.277,37.75,755.02,6.75,19.64,0.338,51.35,0.309,Sand,53.96,21.14,53.62,10.57,2.89,10.19,159.8,338.29,1.97,0.124,27.69,206.2,42.88,14.00,3.68,3.89,1.062,63.16,Good,51.62,0.503,Moderate,0.289,27.99,Absent,N/A,Absent,None,0.900,0.415,Moderate,746286.09,Roads,211428.26,Standby,Moderate,1.27,4.20,11.41,744367.54,1.68,Weekly,0.995,62.2,-34.7
2025-08-28T21:50:15.739Z,22.4543,70.0778,Jamnagar,75.66,1.448,0.696,-0.520,35.78,715.64,5.81,18.58,0.391,53.12,0.394,Mixed,51.33,24.42,43.06,12.21,3.15,10.57,206.7,390.79,2.23,0.154,29.65,191.5,56.88,15.96,3.59,3.90,1.203,61.28,Good,49.82,0.520,Moderate,0.313,31.93,Absent,N/A,Absent,None,0.900,0.455,Moderate,706907.67,Roads,244243.61,Standby,Moderate,1.82,5.60,13.53,920195.08,1.61,Weekly,0.888,91.2,-12.8
2025-08-28T21:20:15.739Z,21.7856,72.1552,Bhavnagar,96.53,0.479,1.225,1.024,48.30,966.08,7.77,24.74,0.183,45.75,0.370,Coral,68.03,6.07,39.16,3.03,1.74,8.59,194.4,107.17,1.71,-0.004,19.65,257.6,46.61,3.44,3.54,3.33,0.001,69.64,Excellent,63.79,0.342,Low,-0.002,6.88,Absent,N/A,Absent,Recent,0.900,0.030,Low,957349.77,None,35541.86,Standby,High,0.50,1.87,0.77,104539.56,2.64,Monthly,0.962,63.0,-32.8
2025-08-28T20:50:15.739Z,20.9036,70.2271,Veraval,88.93,0.983,0.923,0.461,43.74,874.81,7.08,20.70,0.439,51.67,0.263,Coral,61.94,16.37,46.41,8.18,2.61,10.33,155.6,282.66,1.74,0.027,26.90,208.1,62.38,8.01,3.71,3.62,0.679,69.98,Good,63.54,0.388,Low,0.065,16.01,Absent,N/A,Absent,None,0.900,0.236,Low,866076.45,None,111602.96,Standby,High,0.28,3.36,6.29,282464.43,2.37,Monthly,0.949,85.9,-28.8
2025-08-28T20:20:15.739Z,23.0370,72.5589,Ahmedabad Coast,64.80,1.573,0.417,-1.324,29.26,585.29,5.55,14.91,0.565,45.96,0.272,Gravel,42.64,35.29,52.19,17.64,4.02,11.52,206.5,564.59,1.90,0.219,36.17,221.1,44.05,22.48,4.17,4.47,1.359,38.80,Fair,45.29,0.578,High,0.404,44.96,Present,Fair,Absent,None,0.235,0.631,High,576559.07,Buildings,352867.44,Active,Low,2.25,9.92,19.83,1474785.13,1.40,Daily,0.896,88.4,-32.6
